DESPACHADOS,DESPACHADOS,DESPACHADOS,DESPACHADOS,DESPACHADOS,DESPACHADOS,DESPACHADOS,DESPACHADOS,DESPACHADOS,DESPACHADOS,DESPACHADOS,DESPACHADOS,DESPACHADOS,DESPACHADOS,DESPACHADOS,DESPACHADOS,DESPACHADOS,DESPACHADOS,DESPACHADOS,DESPACHADOS,DESPACHADOS,DESPACHADOS
Unnamed: 0_level_1,Programação,DUV,Berço,Embarcação,IMO,LOA,DWT,Bordo,Sentido,Agência,Operador,Mercadoria,Chegada,Desatracacao,Janela Operacional,Prancha (t/dia),Previsto,Unnamed: 18_level_1,Unnamed: 19_level_1,Unnamed: 20_level_1,Unnamed: 21_level_1
1,77520,409782025,219,ADRIATIC HIGHWAY,9442885,19997,"18.868,00",BE,Imp/Exp,UNIMAR,ORION,VEICULOS,30/09/2025 10:42,30/09/2025 23:20,,,67 Movs.,,,,
2,77651,449692025,141,MAERSK KIERA,9431305,18317,"39.724,00",BB,Exp,LACHMANN,PETROBRAS TRANSPORTE S.A - TRANSPETRO,FUEL-OIL (OLEO COMBUSTIVEL),28/09/2025 18:00,30/09/2025 18:00,,,"24.000,000 Tons.",,,,
3,77438,375752025,218,MAERSK LANCO,9527049,29989,"99.792,00",BB,Imp/Exp,LACHMANN,TCP (SCS),CONTÊINERES (CONTENTORES) INCL,29/09/2025 05:00,30/09/2025 11:18,,0,1.170 Movs.,,,,
4,77668,442972025,143,NARRATOR,9995478,18300,"44.995,00",BB,Imp,CARGILL AGRICOLA,CATTALINI,OUTROS OLEOS DE PALMISTE,29/09/2025 05:00,01/10/2025 10:40,,,"4.200,000 Tons.",,,,
4,77668,442972025,143,NARRATOR,9995478,18300,"44.995,00",BB,Imp,CARGILL AGRICOLA,CATTALINI,OUTROS OLEOS DE DENDE,29/09/2025 05:00,01/10/2025 10:40,,,"4.200,000 Tons.",,,,
5,77579,440102025,143,MTM MISSISSIPPI,9315056,18300,"51.182,00",BB,Imp,WILSON SONS,CATTALINI,HIDROXIDO DE SODIO EM SOL.AQUO,29/09/2025 04:00,30/09/2025 04:20,,,"3.139,000 Tons.",,,,
6,77644,443412025,218,GSL ROSSI,9565338,22819,"46.131,00",BB,Imp/Exp,ZIM DO BRASIL,TCP (AS2),CONTÊINERES (CONTENTORES) INCL,28/09/2025 20:30,29/09/2025 15:15,,0,238 Movs.,,,,
7,77310,382282025,216,IRENES RULE,9953561,18597,"38.605,00",BE,Imp/Exp,ROCHAMAR,TCP (SAT),CONTÊINERES (CONTENTORES) INCL,28/09/2025 17:48,29/09/2025 15:45,,0,970 Movs.,,,,
8,77648,447212025,204,WASP,9520613,18999,"58.105,00",BB,Exp,WILLIAMS,CEU AZUL,AÇÚCAR,28/09/2025 20:00,01/10/2025 15:15,,,"47.250,000 Tons.",,,,
9,77208,347522025,215,GRANDE NIGERIA,9246580,21400,"26.169,00",BE,Imp/Exp,LACHMANN,TCP,VEICULOS,28/09/2025 18:00,30/09/2025 12:35,29/09/2025 13:25 - 30/09/2025 09:19,"3.600,000","3.618,000 Tons.",,,,
10,77553,414262025,218,COSCO SHIPPING ARGENTINA,9945849,33595,"144.653,00",BB,Imp/Exp,UNIMAR,TCP (SSA),CONTÊINERES (CONTENTORES) INCL,27/09/2025 20:18,29/09/2025 04:40,,0,1.603 Movs.,,,,
11,77449,375552025,219,POLARIS LEADER,9372810,17990,"17.406,00",BE,Imp/Exp,LACHMANN,MARCON,VEICULOS,28/09/2025 06:30,29/09/2025 22:35,,,564 Movs.,,,,
