LIQUIDO A GRANEL,LIQUIDO A GRANEL,LIQUIDO A GRANEL,LIQUIDO A GRANEL,LIQUIDO A GRANEL,LIQUIDO A GRANEL,LIQUIDO A GRANEL,LIQUIDO A GRANEL,LIQUIDO A GRANEL,LIQUIDO A GRANEL,LIQUIDO A GRANEL,LIQUIDO A GRANEL,LIQUIDO A GRANEL,LIQUIDO A GRANEL,LIQUIDO A GRANEL,Unnamed: 15_level_0
Navio Ship,Bandeira Flag,Com/Len Cal/Draft,Nav,Cheg/Arrival d/m/y,Carimbo Notice,Agência Office,Operaç Operat,Mercadoria Goods,Peso Weight,Viagem Voyage,DUV,P,Terminal,IMO,Unnamed: 15_level_1
RÔMULO ALMEIDA,BRASILEIRA,183 10.2,Cabo,17/09/2025 17:50:00,4124-6,CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.,EMB,OLEO DIESEL,45000,4193-3 2025,421662025,B,ALAMOA,9489912,
EUROTRADER,MALTESA,183 8,Long,27/09/2025 12:30:00,4273--,NORTH STAR SUDESTE SERVICOS MARITIMOS LTDA-EPP,DESC,GASOLINA COMUM,14719,4443-0 2025,436262025,B,ALAMOA,9895927,
FLUMAR MACEIO (REB),BRASILEIRA,144 8,Cabo,29/09/2025 06:00:00,4305-2,AGENCIA MARITIMA GRANEL LTDA.,DESC,GRAN.LIQUIDO NAO ESPECIF,7200,4479-4 2025,447862025,B,ILHA,9345893,
CASTILLO DE TEBRA (REB),BRASILEIRA,120 8,Cabo,29/09/2025 15:50:00,4314-1,ORION OPERACOES PORTUARIAS LTDA,EMB DESC,ETHANOL PRODUTOS QUIMICOS,2268 5480,4495-0 2025,439622025,B,ILHA,9753636,
ALESSANDRO VOLTA,ITALIANA,180 9.8,Long,01/10/2025,,CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.,DESC,GAS LIQUEFEITO,4000,3638-1 2025,363372025,B,ALAMOA,9292773,
ALTAIR,BAHAMENSE,183 9,Cabo,01/10/2025,,CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.,DESC,OLEO LUBRIFICANTE,1773,4419-1 2025,437042025,B,ALAMOA,9797254,
BUENA CONFIANZA,PANAMENHA,120 7.8,Cabo,01/10/2025,,CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.,DESC,GAS LIQUEFEITO,5000,3710-4 2025,369652025,B,ALAMOA,9759264,
CLEAN JUSTICE,LIBERIANA,182 11,Cabo,01/10/2025,,CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.,EMB,OLEO COMBUSTIVEL,26000,3903-7 2025,390562025,B,ALAMOA,9473717,
ELANDRA STAR,ILHAS MARSHALL,183 10,Cabo,01/10/2025,,CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.,EMB,OLEO DIESEL,45000,4463-- 2025,446382025,B,ALAMOA,9635767,
JAKARTA,LIBERIANA,183 10.9,Cabo,01/10/2025,,CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.,EMB,OLEO COMBUSTIVEL,25000,4491-4 2025,448222025,B,ALAMOA,9413523,
LUIGI GALVANI,MALTESA,180 8,Long,01/10/2025,,CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.,DESC,GAS LIQUEFEITO,18000,4002-3 2025,399252025,B,ALAMOA,9738246,
OLAVO BILAC,BRASILEIRA,249 13.1,Cabo,01/10/2025,,CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.,EMB,OLEO COMBUSTIVEL,32000,3923-8 2025,392162025,B,ALAMOA,9547697,
SAKURA BELLE,PANAMENHA,170 5,Long,01/10/2025,,WAYPOINT AGENCIA MARITIMA LTDA,DESC,GRAN.LIQUIDO NAO ESPECIF,8000,4453-5 2025,423032025,B,ALAMOA,9568500,
YARA AESA,NORUEGUESA,180 7,Long,01/10/2025,,WILHELMSEN PORT SERVICES BRASIL LTDA,DESC,GRAN.LIQUIDO NAO ESPECIF,17500,3389-1 2025,339052025,B,ULTRAFERTIL,9725495,
TORM GENESIS,SINGAPURENSE,250 9.5,Cabo,01/10/2025 06:00:00,4343-5,CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.,EMB,OLEO COMBUSTIVEL,66800,4505-5 2025,450672025,B,ALAMOA,9461855,
MAERSK KATALIN,SINGAPURENSE,183 9,Cabo,02/10/2025,,CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.,EMB,GASOLINA COMUM,30000,4545-7 2025,452482025,B,ALAMOA,9431317,
BOW TUNGSTEN,NORUEGUESA,165 8,Cabo,02/10/2025 06:00:00,,AGENCIA MARITIMA GRANEL LTDA.,DESC,GRAN.LIQUIDO NAO ESPECIF,2000,4516-7 2025,452172025,B,ILHA,9777400,
GAZ SYNERGY,PANAMENHA,155 7.8,Cabo,03/10/2025,,CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.,DESC,GAS LIQUEFEITO,9000,4546-3 2025,452512025,B,ALAMOA,9458157,
PS SINGAPORE,ITALIANA,183 10.5,Cabo,03/10/2025,,CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.,EMB,OLEO COMBUSTIVEL,30000,4411-- 2025,441662025,B,ALAMOA,9828156,
HONESTY,LIBERIANA,183 10.1,Cabo,04/10/2025,,CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.,EMB,GASOLINA COMUM,30000,4412-7 2025,441732025,B,ALAMOA,9416393,
ORANGE BLOSSOM 2,LIBERIANA,170 9,Long,06/10/2025,,LACHMANN AGENCIA MARITIMA LTDA,EMB,SUCOS CITRICOS A GRANEL,17000,4318-- 2025,432662025,B,CUTRALE,9675406,
BOW TITANIUM,NORUEGUESA,165 8,Cabo,06/10/2025 07:00:00,,AGENCIA MARITIMA GRANEL LTDA.,EMB DESC,GRAN.LIQUIDO NAO ESPECIF GRAN.LIQUIDO NAO ESPECIF,300 7400,4579-9 2025,458262025,B,DOW,9777395,
MTM NEWPORT,SINGAPURENSE,180 11,Long,07/10/2025 08:00:00,,AGÊNCIA MARÍTIMA CARGONAVE (SP) LTDA.,DESC,OLEO VEGETAL,5804,4559-8 2025,456952025,B,ALAMOA,9774575,
