SEM PRIORIDADE,SEM PRIORIDADE,SEM PRIORIDADE,SEM PRIORIDADE,SEM PRIORIDADE,SEM PRIORIDADE,SEM PRIORIDADE,SEM PRIORIDADE,SEM PRIORIDADE,SEM PRIORIDADE,SEM PRIORIDADE,SEM PRIORIDADE,SEM PRIORIDADE,SEM PRIORIDADE,SEM PRIORIDADE,Unnamed: 15_level_0
Navio Ship,Bandeira Flag,Com/Len Cal/Draft,Nav,Cheg/Arrival d/m/y,Carimbo Notice,Agência Office,Operaç Operat,Mercadoria Goods,Peso Weight,Viagem Voyage,DUV,P,Terminal,IMO,Unnamed: 15_level_1
CAPE SPENCER,PANAMENHA,183 5.7,Cabo,11/08/2025 19:42:00,3538-6,LNUNES SHIPPING LTDA,EMB,CONSUMO DE BORDO,30,3693-2 2025,367602025,SP,CAIS SABOO,9968982,
CBO ANITA,BRASILEIRA,76 4,Long,18/09/2025 12:30:00,4138-6,UNIMAR AGENCIAMENTOS MARITIMOS LTDA,EMB,CARGA GERAL,1,3784-8 2025,377732025,B,SAIPEN,9477402,
ECOMAR GUYENNE,FRANCESA,183 8,Long,19/09/2025 10:24:00,4149-1,GAC LOGISTICA DO BRASIL LTDA,DESC,OLEO DIESEL,41325,4309-1 2025,422012025,B,AGEO(ILHA),1029273,
MRC BELIZ (EX. NCC SUDAIR,MALTESA,183 9,Long,29/09/2025 04:48:00,4302-8,TRANSATLANTICA AFRETAMENTOS E SERVICOS MARITIMOS LTDA,DESC,SODA CAUSTICA,18000,4473-6 2025,446752025,B,ALA.-DOW,9335044,
BOCHEM HOUSTON,PORTUGUESA,160 8,Long,30/09/2025 20:00:00,4336-2,UNIMAR AGENCIAMENTOS MARITIMOS LTDA,EMB,GRAN.LIQUIDO NAO ESPECIF,5000,4313-9 2025,432632025,B,AGEO(ILHA),9955428,
CBO ANITA,BRASILEIRA,76 4,Long,01/10/2025,,UNIMAR AGENCIAMENTOS MARITIMOS LTDA,EMB,CARGA GERAL,1,3943-9 2025,397182025,B,SAIPEN,9477402,
CEDAR ARROW,BAHAMENSE,190 9,Long,01/10/2025,,ROCHAMAR AGENCIA MARITIMA S/A,EMB,PAPEL E CELULOSE,24000,3984-7 2025,399502025,B,32,9232802,
CNL AMETISTA,BRASILEIRA,29 3,Long,01/10/2025,,ZPORT AGENCIA MARITIMA LTDA,EMB,CARGA GERAL,1,4204-5 2025,420202025,B,W e S,9224893,
COSCO SHIPPING CHANG QING,CHINESA,202 10,Long,01/10/2025,,WILHELMSEN PORT SERVICES BRASIL LTDA,EMB,PAPEL E CELULOSE,37,3100-1 2025,307072025,B,EPORT 1/TECON 1,9872171,
COSCO SHIPPING PENG BO,CHINESA,202 12,Long,01/10/2025,,WILHELMSEN PORT SERVICES BRASIL LTDA,EMB,PAPEL E CELULOSE,58000,3279-1 2025,328152025,B,EPORT 1/TECON 1,9928920,
COSCO SHIPPING PENG CHENG,CHINESA,202 12,Long,01/10/2025,,WILHELMSEN PORT SERVICES BRASIL LTDA,EMB,PAPEL E CELULOSE,58000,4013-5 2025,403472025,B,EPORT 1/TECON 1,9872195,
GREEN OSHIMA,PANAMENHA,210 12,Long,01/10/2025,,"WILSON SONS S/A - COMERCIO, INDUSTRIA E AGENCIA DE NAVEGACAO",EMB,PAPEL E CELULOSE,65000,3375-- 2025,337832025,B,CODESP-RUA,1027354,
M AVEIRO,BRASILEIRA,31 3,Long,01/10/2025,,ROCHAMAR AGENCIA MARITIMA S/A,EMB,REPAROS,27,3095-8 2025,307262025,SP,CAIS SABOO,9999277,
ORANGE WAVE,LIBERIANA,157 9,Long,01/10/2025,,LACHMANN AGENCIA MARITIMA LTDA,EMB,SUCOS CITRICOS A GRANEL,10000,4071-5 2025,400722025,B,CUTRALE,9057123,
SAIPEM FDS,BAHAMENSE,163 7,Long,01/10/2025,,UNIMAR AGENCIAMENTOS MARITIMOS LTDA,EMB,CARGA GERAL,1000,2630-7 2025,265942025,B,SAIPEN,9210749,
BOCHEM ROTTERDAM,PORTUGUESA,159 8,Long,01/10/2025 07:00:00,4344-3,UNIMAR AGENCIAMENTOS MARITIMOS LTDA,DESC,GRAN.LIQUIDO NAO ESPECIF,6246,4502-6 2025,448732025,B,ALA.-I.B.,9955478,
ORANGE SKY,LIBERIANA,172 9,Long,04/10/2025 02:00:00,,LACHMANN AGENCIA MARITIMA LTDA,EMB,SUCOS CITRICOS A GRANEL,20700,4346-4 2025,435152025,B,CUTRALE,9228370,
COSCO SHIPPING XING WANG,CHINESA,202 13.3,Long,04/10/2025 06:00:00,,"WILSON SONS S/A - COMERCIO, INDUSTRIA E AGENCIA DE NAVEGACAO",EMB,PAPEL E CELULOSE,31000,4538-- 2025,452672025,B,CODESP-RUA,9872183,
COSCO SHIPPING WISDOM,HONG KONG,202 11,Long,06/10/2025 07:00:00,,"WILSON SONS S/A - COMERCIO, INDUSTRIA E AGENCIA DE NAVEGACAO",EMB,PAPEL E CELULOSE,24828,4557-5 2025,455942025,B,CODESP-RUA,9928889,
SAIPEM FDS,BAHAMENSE,163 5,Long,25/10/2025,,UNIMAR AGENCIAMENTOS MARITIMOS LTDA,EMB,CARGA GERAL,1,4122-9 2025,413312025,B,SAIPEN,9210749,
CBO ANITA,BRASILEIRA,76 4,Long,30/10/2025,,UNIMAR AGENCIAMENTOS MARITIMOS LTDA,EMB,CARGA GERAL,1,4504-9 2025,440252025,B,SAIPEN,9477402,
