GRANEIS DE ORIGEM VEGETAL,GRANEIS DE ORIGEM VEGETAL,GRANEIS DE ORIGEM VEGETAL,GRANEIS DE ORIGEM VEGETAL,GRANEIS DE ORIGEM VEGETAL,GRANEIS DE ORIGEM VEGETAL,GRANEIS DE ORIGEM VEGETAL,GRANEIS DE ORIGEM VEGETAL,GRANEIS DE ORIGEM VEGETAL,GRANEIS DE ORIGEM VEGETAL,GRANEIS DE ORIGEM VEGETAL,GRANEIS DE ORIGEM VEGETAL,GRANEIS DE ORIGEM VEGETAL,GRANEIS DE ORIGEM VEGETAL,GRANEIS DE ORIGEM VEGETAL,Unnamed: 15_level_0
Navio Ship,Bandeira Flag,Com/Len Cal/Draft,Nav,Cheg/Arrival d/m/y,Carimbo Notice,Agência Office,Operaç Operat,Mercadoria Goods,Peso Weight,Viagem Voyage,DUV,P,Terminal,IMO,Unnamed: 15_level_1
MYRA BAY,ILHA DE MAN,190 12,Long,17/09/2025 02:48:00,4278-1,WAYPOINT AGENCIA MARITIMA LTDA,EMB,SOJA A GRANEL,55000,4152-5 2025,411192025,B,16/17-TEAG,9626986,
UNION MARINER,GREGA,229 13.5,Long,21/09/2025 16:00:00,4186-6,AGÊNCIA MARÍTIMA CARGONAVE (SP) LTDA.,EMB,MILHO A GRANEL,65000,4337-5 2025,434912025,B,12A-13/14-20/21,9628934,
WADI ALMOLOUK,EGIPCIA,229 12.7,Long,22/09/2025 07:30:00,4200-5,ALPHAMAR AGÊNCIA MARÍTIMA LTDA.,EMB,PELLETS A GRANEL,67500,4379-0 2025,432422025,B,35/37,9897999,
RB LISA,ILHAS MARSHALL,229 13.3,Long,27/09/2025 15:00:00,4277-3,ALPHAMAR AGÊNCIA MARÍTIMA LTDA.,EMB,MILHO A GRANEL,70000,4484-8 2025,436612025,B,16/17-19,9730828,
GRAND STAR,PANAMENHA,229 13.3,Long,28/09/2025 14:54:00,4291-9,CARGILL AGRICOLA S/A.,EMB,SOJA A GRANEL,68000,4465-3 2025,447342025,B,38,9593775,
VELA,ILHAS MARSHALL,229 12,Long,30/09/2025 05:24:00,4320-6,FERTIMPORT S/A.,EMB,SOJA A GRANEL,68000,4357-6 2025,434712025,B,TGG,9731183,
MATER,SINGAPURENSE,210 12,Long,30/09/2025 06:24:00,4323--,ALPHAMAR AGÊNCIA MARÍTIMA LTDA.,EMB,PELLETS A GRANEL,63500,4472-0 2025,444142025,B,35/37,9841184,
GOLDEN FELLOW,ILHAS MARSHALL,229 13.5,Long,30/09/2025 10:30:00,4326-5,AGÊNCIA MARÍTIMA CARGONAVE (SP) LTDA.,EMB,SOJA A GRANEL,65000,4454-1 2025,445582025,B,12A-13/14-20/21,9854313,
XIN HAI TONG 803,HONG KONG,229 12.5,Long,30/09/2025 14:12:00,4330-3,CARGILL AGRICOLA S/A.,EMB,PELLETS A GRANEL,60000,4418-5 2025,440442025,B,38,9591818,
LIA M,CIPRIOTA,235 12.7,Long,30/09/2025 15:36:00,4331-1,ALPHAMAR AGÊNCIA MARÍTIMA LTDA.,EMB,PELLETS A GRANEL,64346,4477-1 2025,443312025,B,35/37,9525625,
LOTUS BLOSSOM,PANAMENHA,229 13.5,Long,30/09/2025 16:55:00,4334-6,ALPHAMAR AGÊNCIA MARÍTIMA LTDA.,EMB,MILHO A GRANEL,68700,4548-6 2025,451282025,B,SUG.26,9897597,
MAGIC ARIEL,ILHAS MARSHALL,229 12,Long,30/09/2025 20:12:00,4337--,FERTIMPORT S/A.,EMB,SOJA A GRANEL,68000,4442-3 2025,443102025,B,ULTRAFERTIL,9855599,
DELIGHT DIVA,PANAMENHA,229 13,Long,01/10/2025,,ALPHAMAR AGÊNCIA MARÍTIMA LTDA.,EMB,MILHO A GRANEL,67500,4260-2 2025,424182025,B,39,9959761,
GASTONE,ILHAS MARSHALL,229 13,Long,01/10/2025,,CARGILL AGRICOLA S/A.,EMB,SOJA A GRANEL,68600,4475-9 2025,447992025,B,35/37,9643295,
SCARLET STORK,PANAMENHA,229 13.5,Long,01/10/2025,,AGÊNCIA MARÍTIMA CARGONAVE (SP) LTDA.,EMB,MILHO A GRANEL,65000,3510-5 2025,351132025,B,19,9865336,
WINNER,ILHAS MARSHALL,225 13.5,Long,01/10/2025,,AGÊNCIA MARÍTIMA CARGONAVE (SP) LTDA.,EMB,MILHO A GRANEL,65000,4403-8 2025,439962025,B,SUG.26,9305087,
NAVIOS URANUS,ILHAS MARSHALL,229 12.1,Long,01/10/2025 08:00:00,,ALPHAMAR AGÊNCIA MARÍTIMA LTDA.,EMB,MILHO A GRANEL,67500,4541-1 2025,454942025,B,TEG,9852884,
PACIFIC CHERRY,ILHAS MARSHALL,200 12.1,Long,01/10/2025 08:00:00,,ALPHAMAR AGÊNCIA MARÍTIMA LTDA.,EMB,MILHO A GRANEL,62500,4540-5 2025,454782025,B,TEG,9967146,
INGENUITY,LIBERIANA,225 12.3,Long,02/10/2025 08:00:00,,WAYPOINT AGENCIA MARITIMA LTDA,EMB,MILHO A GRANEL,65000,4353-- 2025,434992025,B,TGG,9710787,
AGIOS NIKOLAS,GREGA,225 13.3,Long,03/10/2025 08:00:00,,ALPHAMAR AGÊNCIA MARÍTIMA LTDA.,EMB,MILHO A GRANEL,70324,4571-8 2025,456052025,B,39,9291779,
DRAFTZILLA,ILHAS MARSHALL,200 12.9,Long,03/10/2025 08:00:00,,ALPHAMAR AGÊNCIA MARÍTIMA LTDA.,EMB,MILHO A GRANEL,63113,4566-4 2025,449712025,B,16/17-19,9875331,
PROTECTOR,LIBERIANA,229 12.1,Long,03/10/2025 08:00:00,,ALPHAMAR AGÊNCIA MARÍTIMA LTDA.,EMB,PELLETS A GRANEL,70500,4580-7 2025,457872025,B,35/37,9942615,
