GRANEIS SOLIDOS - IMPORTACAO,GRANEIS SOLIDOS - IMPORTACAO,GRANEIS SOLIDOS - IMPORTACAO,GRANEIS SOLIDOS - IMPORTACAO,GRANEIS SOLIDOS - IMPORTACAO,GRANEIS SOLIDOS - IMPORTACAO,GRANEIS SOLIDOS - IMPORTACAO,GRANEIS SOLIDOS - IMPORTACAO,GRANEIS SOLIDOS - IMPORTACAO,GRANEIS SOLIDOS - IMPORTACAO,GRANEIS SOLIDOS - IMPORTACAO,GRANEIS SOLIDOS - IMPORTACAO,GRANEIS SOLIDOS - IMPORTACAO,GRANEIS SOLIDOS - IMPORTACAO,GRANEIS SOLIDOS - IMPORTACAO,Unnamed: 15_level_0
Navio Ship,Bandeira Flag,Com/Len Cal/Draft,Nav,Cheg/Arrival d/m/y,Carimbo Notice,Agência Office,Operaç Operat,Mercadoria Goods,Peso Weight,Viagem Voyage,DUV,P,Terminal,IMO,Unnamed: 15_level_1
DELIGHT DIVA,PANAMENHA,229 7,Long,04/09/2025 08:00:00,3930-6,JBG - AGENCIAMENTOS MARITIMOS E TRANSPORTES LTDA,DESC,FERTILIZANTES,77390,3879-9 2025,383342025,B,TERMAG,9959761,
SHANDONG XIN ZE,ILHAS MARSHALL,229 9,Long,14/09/2025 17:00:00,4071-1,FERTIMPORT S/A.,DESC,FERTILIZANTES,76895,4113-0 2025,406942025,B,TERMAG,1026570,
LYRA M,ILHAS MARSHALL,190 6.9,Long,16/09/2025 05:20:00,4091-6,WORLD SHIPPING AGENCIAMENTOS LTDA,DESC,FERTILIZANTES,42130,4155-4 2025,415482025,B,CODESP-RUA,9668063,
ANNA DOROTHEA,LIBERIANA,190 7,Long,18/09/2025 11:50:00,4139-4,"WILSON SONS S/A - COMERCIO, INDUSTRIA E AGENCIA DE NAVEGACAO",DESC,FERTILIZANTES,10000,4190-4 2025,418782025,B,35/37-SABOO,9482213,
SIIRT,MALTESA,200 7,Long,22/09/2025 17:00:00,4207-2,ORION OPERACOES PORTUARIAS LTDA,DESC,FERTILIZANTES,55062,4106-3 2025,401252025,B,23,9644196,
DSI PHOENIX,ILHAS MARSHALL,200 7.1,Long,24/09/2025 19:00:00,4236-6,"WILSON SONS S/A - COMERCIO, INDUSTRIA E AGENCIA DE NAVEGACAO",DESC,FERTILIZANTES,49499,4302-7 2025,428982025,B,ULTRAFERTIL,9738337,
SOZON,LIBERIANA,190 9.2,Long,25/09/2025 18:30:00,4250-1,WORLD SHIPPING AGENCIAMENTOS LTDA,DESC,FERTILIZANTES,22650,4356-0 2025,433772025,B,CODESP-RUA,9401922,
IONIAN SPIRIT,ILHAS MARSHALL,180 5,Long,26/09/2025 14:24:00,4260-9,ROCHAMAR AGENCIA MARITIMA S/A,DESC,FERTILIZANTES,33000,4401-5 2025,440742025,B,CODESP-RUA,9747235,
SAGA JOURNEY,BAHAMENSE,199 7.9,Long,27/09/2025 19:00:00,4279-0,"WILSON SONS S/A - COMERCIO, INDUSTRIA E AGENCIA DE NAVEGACAO",DESC,FERTILIZANTES,11238,4330-- 2025,434662025,B,CAIS SABOO,9363637,
