ROLL-IN-ROLL-OFF,ROLL-IN-ROLL-OFF,ROLL-IN-ROLL-OFF,ROLL-IN-ROLL-OFF,ROLL-IN-ROLL-OFF,ROLL-IN-ROLL-OFF,ROLL-IN-ROLL-OFF,ROLL-IN-ROLL-OFF,ROLL-IN-ROLL-OFF,ROLL-IN-ROLL-OFF,ROLL-IN-ROLL-OFF,ROLL-IN-ROLL-OFF,ROLL-IN-ROLL-OFF,ROLL-IN-ROLL-OFF,ROLL-IN-ROLL-OFF,Unnamed: 15_level_0
Navio Ship,Bandeira Flag,Com/Len Cal/Draft,Nav,Cheg/Arrival d/m/y,Carimbo Notice,Agência Office,Operaç Operat,Mercadoria Goods,Peso Weight,Viagem Voyage,DUV,P,Terminal,IMO,Unnamed: 15_level_1
GRANDE AMBURGO,ITALIANA,214 9,Long,01/10/2025,,LACHMANN AGENCIA MARITIMA LTDA,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,3600 1800,3802-6 2025,278162025,B,CAIS SABOO,9246607,
INTEGRADOR,PANAMENHA,120 5,Long,01/10/2025,,GLS BRASIL SERVICOS MARITIMOS,EMB,VEICULO,600,4191-- 2025,411502025,B,TEVI,9079212,
GRANDE TEMA,ITALIANA,236 9,Long,01/10/2025 01:00:00,,LACHMANN AGENCIA MARITIMA LTDA,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,5400 5400,4467-6 2025,439182025,B,CAIS SABOO,9672090,
GOODWOOD,LIBERIANA,200 8,Long,02/10/2025,,UNIMAR AGENCIAMENTOS MARITIMOS LTDA,EMB,VEICULO,9800,4428-- 2025,444322025,B,TEVI,9701140,
FLORIDA HIGHWAY,PANAMENHA,200 8,Long,03/10/2025,,UNIMAR AGENCIAMENTOS MARITIMOS LTDA,EMB,VEICULO,9800,4429-7 2025,444282025,B,TEVI,9442861,
MORNING CALYPSO,PANAMENHA,199 7,Long,03/10/2025,,WILHELMSEN PORT SERVICES BRASIL LTDA,EMB DESC,VEICULO VEICULO,185 200,4483-1 2025,444242025,B,TEVI,9638460,
BRASILIA HIGHWAY,PANAMENHA,200 8,Long,05/10/2025,,UNIMAR AGENCIAMENTOS MARITIMOS LTDA,EMB,VEICULO,9800,4486-- 2025,447802025,B,TEVI,9519119,
GRANDE AMBURGO,ITALIANA,214 9,Long,05/10/2025 01:01:00,,LACHMANN AGENCIA MARITIMA LTDA,EMB,CONTEINERES CHEIOS CONTEINERES CHEIOS,3600,4469-9 2025,432932025,B,CAIS SABOO,9246607,
MANON,NORUEGUESA,199 8.2,Long,05/10/2025 04:00:00,,WILHELMSEN PORT SERVICES BRASIL LTDA,EMB,VEICULO,3885,4497-2 2025,448382025,B,TEVI,9179725,
LIBERTY,ESTADUNIDENSE,200 8,Long,17/10/2025,,WILHELMSEN PORT SERVICES BRASIL LTDA,EMB DESC,VEICULO VEICULO,1987 758,4525-6 2025,452422025,B,TEVI,9310109,
DOVER HIGHWAY,JAPONESA,200 8,Long,27/10/2025,,UNIMAR AGENCIAMENTOS MARITIMOS LTDA,EMB,VEICULO,9800,4466-0 2025,447892025,B,TEVI,9574107,
