LASH,LASH,LASH,LASH,LASH,LASH,LASH,LASH,LASH,LASH,LASH,LASH,LASH,LASH,LASH,Unnamed: 15_level_0
Navio Ship,Bandeira Flag,Com/Len Cal/Draft,Nav,Cheg/Arrival d/m/y,Carimbo Notice,Agência Office,Operaç Operat,Mercadoria Goods,Peso Weight,Viagem Voyage,DUV,P,Terminal,IMO,Unnamed: 15_level_1
SKANDI ACHIEVER (REB),BRASILEIRA,106 4,Long,02/09/2025 22:30:00,3909-8,UNIMAR AGENCIAMENTOS MARITIMOS LTDA,EMB,CARGA GERAL,1,4015-8 2025,404222025,B,SAIPEN,9413810,
PARCEL DOS MEROS (REB),BRASILEIRA,80 4,Long,24/09/2025 07:40:00,4228-5,UNIMAR AGENCIAMENTOS MARITIMOS LTDA,EMB,CARGA GERAL,1,3728-- 2025,373692025,B,SAIPEN,9343596,
SEA1 ATLAS,BRASILEIRA,88 4,Long,24/09/2025 12:30:00,4231-5,UNIMAR AGENCIAMENTOS MARITIMOS LTDA,EMB,CARGA GERAL,1,4051-4 2025,398312025,B,SAIPEN,9578660,
CBO FLAMENGO,BRASILEIRA,89 5,Long,01/10/2025,,UNIMAR AGENCIAMENTOS MARITIMOS LTDA,EMB,CARGA GERAL,1000,2830-6 2025,282032025,B,SAIPEN,9578880,
CBO FLAMENGO,BRASILEIRA,89 5,Long,01/10/2025,,UNIMAR AGENCIAMENTOS MARITIMOS LTDA,EMB,CARGA GERAL,1,1749-- 2025,179802025,B,SAIPEN,9578880,
CBO FLAMENGO,BRASILEIRA,89 4,Long,01/10/2025,,UNIMAR AGENCIAMENTOS MARITIMOS LTDA,EMB,CARGA GERAL,1000,2873-7 2025,289242025,B,SAIPEN,9578880,
HOS REMINGTON,MEXICANA,82 4,Long,01/10/2025,,UNIMAR AGENCIAMENTOS MARITIMOS LTDA,EMB,CARGA GERAL,1,3487-3 2025,348352025,B,SAIPEN,9686144,
HOS REMINGTON,MEXICANA,82 4,Long,01/10/2025,,UNIMAR AGENCIAMENTOS MARITIMOS LTDA,EMB,CARGA GERAL,1,3843-4 2025,386252025,B,SAIPEN,9686144,
HOS TAURUS (REB),BRASILEIRA,85 4,Long,01/10/2025,,UNIMAR AGENCIAMENTOS MARITIMOS LTDA,EMB,CARGA GERAL,1,3191-7 2025,319862025,B,SAIPEN,9385271,
HOS TAURUS (REB),BRASILEIRA,85 4,Long,01/10/2025,,UNIMAR AGENCIAMENTOS MARITIMOS LTDA,EMB,GRAN.LIQUIDO NAO ESPECIF,1,4052-- 2025,402352025,B,SAIPEN,9385271,
JSD6000,BAHAMENSE,214 8,Long,01/10/2025,,UNIMAR AGENCIAMENTOS MARITIMOS LTDA,EMB,CARGA GERAL,1000,2874-3 2025,282922025,B,SAIPEN,9739408,
JSD6000,BAHAMENSE,214 8,Long,01/10/2025,,UNIMAR AGENCIAMENTOS MARITIMOS LTDA,EMB,CARGA GERAL,1,3863-5 2025,388142025,B,SAIPEN,9739408,
MANDRIÃO (REB),BRASILEIRA,76 4,Long,01/10/2025,,UNIMAR AGENCIAMENTOS MARITIMOS LTDA,EMB,CARGA GERAL,1,3835-1 2025,384082025,B,SAIPEN,9645542,
MANDRIÃO (REB),BRASILEIRA,76 4,Long,01/10/2025,,UNIMAR AGENCIAMENTOS MARITIMOS LTDA,EMB,CARGA GERAL,1,3944-5 2025,397072025,B,SAIPEN,9645542,
NORMAND MAXIMUS,NORUEGUESA,178 8,Long,01/10/2025,,UNIMAR AGENCIAMENTOS MARITIMOS LTDA,EMB,CARGA GERAL,1,3585-5 2025,358192025,B,SAIPEN,9744518,
PARCEL DOS MEROS (REB),BRASILEIRA,80 4,Long,03/10/2025,,UNIMAR AGENCIAMENTOS MARITIMOS LTDA,EMB,CARGA GERAL,1,4121-2 2025,410162025,B,SAIPEN,9343596,
HOS TAURUS (REB),BRASILEIRA,85 4,Long,20/10/2025,,UNIMAR AGENCIAMENTOS MARITIMOS LTDA,EMB,CARGA GERAL,1,4392-6 2025,437412025,B,SAIPEN,9385271,
SEA1 ATLAS,BRASILEIRA,88 4,Long,20/10/2025,,UNIMAR AGENCIAMENTOS MARITIMOS LTDA,EMB,CARGA GERAL,1,4391-0 2025,439142025,B,SAIPEN,9578660,
SKANDI ACHIEVER (REB),BRASILEIRA,106 4,Long,01/11/2025,,UNIMAR AGENCIAMENTOS MARITIMOS LTDA,EMB,CARGA GERAL,1,4503-2 2025,450682025,B,SAIPEN,9413810,
