CONTEINERES,CONTEINERES,CONTEINERES,CONTEINERES,CONTEINERES,CONTEINERES,CONTEINERES,CONTEINERES,CONTEINERES,CONTEINERES,CONTEINERES,CONTEINERES,CONTEINERES,CONTEINERES,CONTEINERES,Unnamed: 15_level_0
Navio Ship,Bandeira Flag,Com/Len Cal/Draft,Nav,Cheg/Arrival d/m/y,Carimbo Notice,Agência Office,Operaç Operat,Mercadoria Goods,Peso Weight,Viagem Voyage,DUV,P,Terminal,IMO,Unnamed: 15_level_1
AS CAROLINA,PORTUGUESA,222 11,Long,25/07/2025 10:30:00,3279-4,ZIM DO BRASIL LTDA.,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 1800,3240-8 2025,325752025,B,TECON,9314935,
CMA CGM BELEM,MALTESA,336 10,Long,26/08/2025 22:30:00,3791-5,UNIMAR AGENCIAMENTOS MARITIMOS LTDA,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 1800,3671-9 2025,366272025,B,TECON,9938286,
JPO PISCES,LIBERIANA,264 9,Long,13/09/2025 05:30:00,4049-5,LACHMANN AGENCIA MARITIMA LTDA,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 1800,4153-1 2025,365692025,B,TECON,9297852,
MSC SOFIA PAZ,LIBERIANA,300 13.8,Long,26/09/2025 15:00:00,4261-7,MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA.,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,27000 1800,4374-8 2025,429212025,B,B.T.P. 1,9695028,
C HAMBURG,LIBERIANA,334 13.8,Long,27/09/2025 10:30:00,4270-6,MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA.,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,27000 1800,4224-6 2025,423122025,B,B.T.P. 1,9450375,
AS SABINE,LIBERIANA,172 9,Long,29/09/2025 18:00:00,4315-0,LACHMANN AGENCIA MARITIMA LTDA,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 1800,4306-2 2025,365812025,B,B.T.P. 1,9813802,
MSC ATHENS,LIBERIANA,300 9.6,Long,30/09/2025 09:00:00,4324-9,MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA.,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 18000,4371-9 2025,435122025,B,B.T.P. 1,9618305,
MSC NERISSA V,PANAMENHA,294 13,Long,30/09/2025 11:24:00,4328-1,MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA.,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,12600 1800,4370-2 2025,434642025,B,B.T.P. 1,9278155,
MSC AGADIR,HONG KONG,300 14,Long,30/09/2025 15:43:00,4332-0,MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA.,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,18000 1800,4300-4 2025,429052025,B,B.T.P. 1,9619464,
MSC AMALFI,MALTESA,300 14.2,Long,30/09/2025 16:06:00,4333-8,MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA.,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 12600,4376-- 2025,437992025,B,TECON,9605279,
