Sentido,Mercadoria,Embarcação,Chegada,Previsto,Saldo Total
Imp,CONTÊINERES (CONTENTORES) INCL,GREEN SANTOS,30/09/2025 10:30,"799,000 Tons.","799,000 Tons."
Exp,SOJA,YM NAVIGATOR,28/09/2025 16:36,"70.000,000 Tons.","0,000 Tons."
Exp,FARELO DE SOJA,FLAG METTE,28/09/2025 09:20,"64.165,000 Tons.","50.427,020 Tons."
Imp,METANOL,SAKURA BELLE,27/09/2025 07:30,"17.002,000 Tons.","11.337,000 Tons."
Imp/Exp,CONTÊINERES (CONTENTORES) INCL,PARANAGUA EXPRESS,27/09/2025 04:36,1.050 Movs.,1.050 Movs.
Exp,FARELO DE SOJA,SDM TAICANG,24/09/2025 07:06,"62.700,000 Tons.","14.853,580 Tons."
Imp,SULFATO DE AMONIO,FU RONG FENG,15/09/2025 09:00,"63.000,000 Tons.","24.209,730 Tons."
Exp,OUTS.ACUCARES,NJ CALLISTO,06/09/2025 16:00,"30.098,000 Tons.","9.648,120 Tons."
Imp,SULFATO DE AMONIO,NAVIOS URANUS,24/08/2025 17:00,"2.040,000 Tons.","24.611,480 Tons."
Imp,SULFATO DE AMONIO,NAVIOS URANUS,24/08/2025 17:00,"69.063,000 Tons.","24.611,480 Tons."
Imp,MAP,PISTI,18/08/2025 20:30,"43.953,000 Tons.","42.075,900 Tons."
Imp,CLORETOS DE POTASSIO,VENTURE,18/08/2025 09:48,"29.284,000 Tons.","21.901,040 Tons."
Imp,UREIA,TIAN MU SHAN,13/08/2025 18:00,"12.750,000 Tons.","2.933,390 Tons."
Imp,UREIA,TIAN MU SHAN,13/08/2025 18:00,"13.500,000 Tons.","2.933,390 Tons."
Imp,FERTILIZ.MINER.QUIM.C/NITROGEN,ZURICH,06/08/2025 22:30,"66.240,000 Tons.","40.487,860 Tons."
Imp/Exp,VEICULOS,ADRIATIC HIGHWAY,30/09/2025 10:42,67 Movs.,
Exp,FUEL-OIL (OLEO COMBUSTIVEL),MAERSK KIERA,28/09/2025 18:00,"24.000,000 Tons.",
Imp/Exp,CONTÊINERES (CONTENTORES) INCL,MAERSK LANCO,29/09/2025 05:00,1.170 Movs.,
Imp,OUTROS OLEOS DE PALMISTE,NARRATOR,29/09/2025 05:00,"4.200,000 Tons.",
Imp,OUTROS OLEOS DE DENDE,NARRATOR,29/09/2025 05:00,"4.200,000 Tons.",
Imp,HIDROXIDO DE SODIO EM SOL.AQUO,MTM MISSISSIPPI,29/09/2025 04:00,"3.139,000 Tons.",
Imp/Exp,CONTÊINERES (CONTENTORES) INCL,GSL ROSSI,28/09/2025 20:30,238 Movs.,
Imp/Exp,CONTÊINERES (CONTENTORES) INCL,IRENES RULE,28/09/2025 17:48,970 Movs.,
Exp,AÇÚCAR,WASP,28/09/2025 20:00,"47.250,000 Tons.",
Imp/Exp,VEICULOS,GRANDE NIGERIA,28/09/2025 18:00,"3.618,000 Tons.",
Imp/Exp,CONTÊINERES (CONTENTORES) INCL,COSCO SHIPPING ARGENTINA,27/09/2025 20:18,1.603 Movs.,
Imp/Exp,VEICULOS,POLARIS LEADER,28/09/2025 06:30,564 Movs.,
Imp/Exp,CONTÊINERES (CONTENTORES) INCL,ENSENADA,29/09/2025 21:40,500 Movs.,
Imp/Exp,CONTÊINERES (CONTENTORES) INCL,MSC SARA ELENA,27/09/2025 00:00,1.388 Movs.,
Imp/Exp,CONTÊINERES (CONTENTORES) INCL,MSC SHREYA B,25/09/2025 09:00,771 Movs.,
Exp,AÇÚCAR,BUNUN TREASURE,22/09/2025 22:06,"26.250,000 Tons.",
Imp,CEVADA CERVEJEIRA,PARAGON,23/09/2025 01:00,"0,000 Tons.",
Imp/Exp,CONTÊINERES (CONTENTORES) INCL,NZ SHANGHAI,24/09/2025 09:54,303 Movs.,
Exp,SOJA,YARRA,22/09/2025 08:00,"67.000,000 Tons.",
Imp,CONTÊINERES (CONTENTORES) INCL,GREEN YOKOHAMA,21/09/2025 21:12,"2.035,000 Tons.",
Exp,AÇÚCAR,UNION TRADER,21/09/2025 15:00,"55.300,000 Tons.",
Exp,MILHO,ATLAS,18/09/2025 02:40,"62.000,000 Tons.",
Exp,FARELO DE SOJA,LINDEN TRADER,16/09/2025 22:36,"63.000,000 Tons.",
Imp,ADUBOS OU FERTILIZANTES C/NITR,RED FIN,22/08/2025 11:45,"23.562,000 Tons.",
Imp,NITRATO DE AMONIO,RED FIN,22/08/2025 11:45,"23.562,000 Tons.",
Imp,UREIA,RED FIN,22/08/2025 11:45,"23.562,000 Tons.",
